City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
146,Cutlerville,US,2022-01-13 02:51:42,42.8409,-85.6636,36.25,90,100,0.0,overcast clouds
147,New Norfolk,AU,2022-01-13 02:51:42,-42.7826,147.0587,72.66,36,94,8.03,overcast clouds
148,Ilulissat,GL,2022-01-13 02:51:42,69.2167,-51.1,1.98,95,100,5.95,overcast clouds
149,Esperance,AU,2022-01-13 02:51:42,-33.8667,121.9,87.64,47,1,13.13,clear sky
150,Chokurdakh,RU,2022-01-13 02:51:43,70.6333,147.9167,-34.53,100,100,3.91,overcast clouds
151,Te Anau,NZ,2022-01-13 02:51:43,-45.4167,167.7167,68.16,40,1,4.56,clear sky
152,Valparaiso,CL,2022-01-13 02:51:44,-33.0393,-71.6273,62.24,88,0,4.61,clear sky
153,Kismayo,SO,2022-01-13 02:51:44,-0.3582,42.5454,77.18,84,99,12.01,overcast clouds
154,Atar,MR,2022-01-13 02:51:44,20.5169,-13.0499,69.82,16,99,11.21,overcast clouds
155,Lavrentiya,RU,2022-01-13 02:51:44,65.5833,-171.0,-15.77,94,28,9.84,scattered clouds
156,Hualmay,PE,2022-01-13 02:51:45,-11.0964,-77.6139,70.9,83,100,9.06,overcast clouds
157,Ust-Maya,RU,2022-01-13 02:51:45,60.4167,134.5333,-16.42,94,63,2.19,broken clouds
158,Muisne,EC,2022-01-13 02:51:45,0.6,-80.0333,76.64,86,91,7.56,overcast clouds
159,Balkanabat,TM,2022-01-13 02:51:46,39.5108,54.3671,48.81,58,100,6.38,overcast clouds
160,Bajil,YE,2022-01-13 02:51:46,15.0584,43.2851,73.89,75,64,2.95,broken clouds
161,Novyy Urgal,RU,2022-01-13 02:51:46,51.0736,132.5642,0.27,91,100,1.3,overcast clouds
162,Mayo,US,2022-01-13 02:51:47,38.8876,-76.5119,40.66,75,0,1.01,clear sky
163,Sibu,MY,2022-01-13 02:51:47,2.3,111.8167,80.91,88,40,5.01,scattered clouds
164,Acurenam,GQ,2022-01-13 02:51:47,1.0322,10.6488,68.14,99,96,3.27,overcast clouds
165,Huarmey,PE,2022-01-13 02:51:48,-10.0681,-78.1522,71.08,81,93,8.14,overcast clouds
166,Shingu,JP,2022-01-13 02:51:48,33.7333,135.9833,47.39,52,6,18.19,clear sky
167,Sinjar,IQ,2022-01-13 02:51:48,36.3209,41.8754,49.51,84,100,8.3,overcast clouds
168,Katra,IN,2022-01-13 02:51:48,32.9833,74.95,43.21,58,100,7.83,overcast clouds
169,Abha,SA,2022-01-13 02:51:49,18.2164,42.5053,50.25,71,0,0.0,clear sky
170,Ballina,AU,2022-01-13 02:50:32,-28.8667,153.5667,84.38,59,40,11.5,scattered clouds
171,Kaitangata,NZ,2022-01-13 02:51:49,-46.2817,169.8464,60.93,61,16,11.68,few clouds
172,Ust-Tsilma,RU,2022-01-13 02:51:49,65.441,52.1498,14.83,73,98,12.93,overcast clouds
173,Mutare,ZW,2022-01-13 02:51:50,-18.9707,32.6709,63.93,98,100,2.75,overcast clouds
174,Katsuura,JP,2022-01-13 02:51:50,35.1333,140.3,49.19,57,86,19.22,overcast clouds
175,San Jose,US,2022-01-13 02:51:50,37.3394,-121.895,60.24,70,100,0.0,overcast clouds
176,East London,ZA,2022-01-13 02:48:51,-33.0153,27.9116,70.45,86,100,10.6,light rain
177,Padang,ID,2022-01-13 02:51:51,-0.9492,100.3543,86.05,63,64,2.89,broken clouds
178,Zeya,RU,2022-01-13 02:51:51,53.75,127.2667,-0.92,78,29,1.3,scattered clouds
179,Norman Wells,CA,2022-01-13 02:51:51,65.282,-126.8329,-9.36,64,75,3.44,broken clouds
180,Nanortalik,GL,2022-01-13 02:52:52,60.1432,-45.2371,15.69,80,85,7.11,overcast clouds
181,Mengcheng,CN,2022-01-13 02:52:52,33.2579,116.5655,36.3,31,35,5.66,scattered clouds
182,Lyons,US,2022-01-13 02:52:52,41.8134,-87.8181,35.94,83,73,1.14,broken clouds
183,Helmsdale,GB,2022-01-13 02:52:53,58.1168,-3.6517,49.95,77,100,29.46,overcast clouds
184,Alice Springs,AU,2022-01-13 02:52:53,-23.7,133.8833,99.95,14,0,5.75,clear sky
185,Trento,IT,2022-01-13 02:52:53,46.0679,11.1211,34.25,70,0,2.42,clear sky
186,Puerto Ayora,EC,2022-01-13 02:52:53,-0.7393,-90.3518,74.43,81,49,7.65,scattered clouds
187,Port Hardy,CA,2022-01-13 02:52:54,50.6996,-127.4199,49.75,93,100,11.5,light intensity shower rain
188,Portland,US,2022-01-13 02:48:47,45.5234,-122.6762,54.61,80,75,5.99,broken clouds
189,Bako,ET,2022-01-13 02:52:54,5.7833,36.5667,65.35,53,100,3.87,overcast clouds
190,Lagoa,PT,2022-01-13 02:52:54,39.05,-27.9833,60.66,75,79,13.44,broken clouds
191,Ambon,ID,2022-01-13 02:52:55,-3.6954,128.1814,80.74,89,40,3.44,scattered clouds
192,Panguna,PG,2022-01-13 02:52:55,-6.3164,155.4848,81.18,69,87,3.67,light rain
193,Oyama,JP,2022-01-13 02:52:55,36.3,139.8,49.89,25,32,7.87,scattered clouds
194,Almaznyy,RU,2022-01-13 02:52:55,48.0448,40.045,6.94,85,72,10.54,broken clouds
195,Lorengau,PG,2022-01-13 02:52:56,-2.0226,147.2712,85.35,66,93,11.34,overcast clouds
196,Upernavik,GL,2022-01-13 02:52:56,72.7868,-56.1549,5.86,92,100,4.7,overcast clouds
197,San Luis,AR,2022-01-13 02:52:56,-33.295,-66.3356,82.83,24,30,11.65,scattered clouds
198,Panaba,MX,2022-01-13 02:52:57,21.2833,-88.2667,67.08,83,5,7.65,clear sky
199,Chuy,UY,2022-01-13 02:52:57,-33.6971,-53.4616,67.73,88,0,7.29,clear sky
200,Oni,GE,2022-01-13 02:52:57,42.5794,43.4425,38.61,99,100,2.98,overcast clouds
201,Svetlogorsk,BY,2022-01-13 02:52:58,52.6333,29.7333,7.41,91,20,6.8,few clouds
202,Tuktoyaktuk,CA,2022-01-13 02:52:58,69.4541,-133.0374,-16.6,76,20,16.11,few clouds
203,Deming,US,2022-01-13 02:50:04,32.2687,-107.7586,46.29,42,0,4.61,clear sky
